name,product_type,availability,price,original_price,discount_amount,discount_percentage,black_friday_discount,image,reviews_count,rating
"SAMSUNG Audifonos inalámbricos Galaxy Buds3 Blanco, AI, Nacional con Garantía",another,Available,"$1,799.00","$2,499.00",$700.00,28.01%,No,https://m.media-amazon.com/images/I/51wYLUl3sbL._AC_UL320_.jpg,58,4.6 de 5 estrellas
"Samsung Smart TV 50"" 4K Crystal UHD (UN50DU8000FXZX)",tv,Available,"$7,895.00","$14,284.00","$6,389.00",44.73%,No,https://m.media-amazon.com/images/I/61QkKCod-DL._AC_UL320_.jpg,16,5.0 de 5 estrellas
Samsung Galaxy A05S 4GB 128GB Violeta,smartphone,Available,"$2,999.00","$2,999.00","$6,389.00",44.73%,No,https://m.media-amazon.com/images/I/61+CTd3mcvL._AC_UL320_.jpg,12,4.1 de 5 estrellas
Samsung Galaxy A55 5G Color Violeta Claro RAM 8GB_128GB l Internacional,smartphone,Available,"$6,679.71","$6,679.71","$6,389.00",44.73%,No,https://m.media-amazon.com/images/I/51i4ME0cxeL._AC_UL320_.jpg,42,4.1 de 5 estrellas
"SAMSUNG Celular Galaxy A15 Amarillo 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$3,004.00","$3,599.00",$595.00,16.53%,No,https://m.media-amazon.com/images/I/515RZmhJ3DL._AC_UL320_.jpg,52,4.6 de 5 estrellas
"SAMSUNG Galaxy S24, Negro Onyx, 8GB_256GB",smartphone,Available,"$17,429.17","$20,999.00","$3,569.83",17.00%,No,https://m.media-amazon.com/images/I/31V5EzaTsVL._AC_UL320_.jpg,38,4.2 de 5 estrellas
SAMSUNG Celular Galaxy S23 128GB Rosa Claro,smartphone,Available,"$15,999.00","$15,999.00","$3,569.83",17.00%,No,https://m.media-amazon.com/images/I/61gpxn8wtoL._AC_UL320_.jpg,85,4.7 de 5 estrellas
"Samsung Galaxy S22 Ultra, 5G, desbloqueado de fábrica 128GB, SM-S908U1 (reacondicionado) (borgoña)",smartphone,Available,"$9,222.00","$9,222.00","$3,569.83",17.00%,No,https://m.media-amazon.com/images/I/61bteKquOYL._AC_UL320_.jpg,363,3.7 de 5 estrellas
Celular Poco C65 Blue 8GB RAM 256GB ROM,smartphone,Available,"$2,439.00","$2,999.00",$560.00,18.67%,No,https://m.media-amazon.com/images/I/513DQGmivPL._AC_UL320_.jpg,"1,973",4.6 de 5 estrellas
"SAMUNG Pantalla Led 75"" Procesador Crystal 4K, SmartThings Mod.UN75CU7000DXZA RENOVADO (75"")",another,Available,"$15,500.00","$15,500.00",$560.00,18.67%,No,https://m.media-amazon.com/images/I/61TMAyFBSmL._AC_UL320_.jpg,3,3.5 de 5 estrellas
"truefree Oído Abierto Audífonos Bluetooth 5.3, Audífonos Inalámbricos Deportivos,Cancelación de Ruido ENC, Sonido Estéreo 3D por Controlador de 16,2 mm, 45 Horas de reproducción,4 mics.(Blanco)",another,Available,$799.00,"$1,299.99",$500.99,38.54%,No,https://m.media-amazon.com/images/I/516gXzENw1L._AC_UL320_.jpg,"1,646",4.3 de 5 estrellas
"HXEIR 4G Teléfono Móvil para Personas Mayores con Botón Grande, Teléfono Basico para Ancianos 4g/LTE, con Función SOS, Volumen Alto, 1800 mAh con Base de Carga, Un Solo SIM, Linterna",another,Available,$849.15,$999.00,$149.85,15.00%,No,https://m.media-amazon.com/images/I/71I90T7oYRL._AC_UL320_.jpg,5,5.0 de 5 estrellas
